"Date","Price","Open","High","Low","Vol.","Change %"
"12/13/2016","4,803.87","4,754.22","4,807.88","4,746.55","113.89M","0.91%"
"12/12/2016","4,760.77","4,769.84","4,780.95","4,754.15","101.41M","-0.07%"
"12/09/2016","4,764.07","4,741.10","4,780.52","4,737.38","125.38M","0.60%"
"12/08/2016","4,735.48","4,709.89","4,748.51","4,688.58","154.26M","0.87%"
"12/07/2016","4,694.72","4,676.61","4,694.72","4,658.73","141.48M","1.36%"
"12/06/2016","4,631.94","4,576.87","4,639.91","4,558.90","122.98M","1.26%"
"12/05/2016","4,574.32","4,506.66","4,605.56","4,502.20","111.54M","1.00%"
"12/02/2016","4,528.82","4,527.84","4,545.25","4,490.15","102.07M","-0.70%"
"12/01/2016","4,560.61","4,571.20","4,582.83","4,541.02","111.64M","-0.39%"
"11/30/2016","4,578.34","4,548.98","4,597.54","4,547.58","143.64M","0.59%"
"11/29/2016","4,551.46","4,506.91","4,551.46","4,494.37","89.27M","0.91%"
"11/28/2016","4,510.39","4,544.09","4,545.14","4,499.20","82.98M","-0.88%"
"11/25/2016","4,550.27","4,548.85","4,555.47","4,524.34","64.86M","0.17%"
"11/24/2016","4,542.56","4,537.27","4,552.04","4,520.49","57.01M","0.29%"
"11/23/2016","4,529.21","4,557.93","4,559.21","4,509.02","102.20M","-0.42%"
"11/22/2016","4,548.35","4,561.70","4,571.79","4,541.58","125.79M","0.41%"
